source,target,weight
1,2,3
1,3,2
2,3,4
1,13,2
2,13,3
3,13,1
1,17,5
2,17,3
13,17,2
21,1,1
21,2,2
33,1,2
33,13,1
39,1,4
39,2,3
39,17,5
45,1,2
45,21,1
4,5,3
4,6,2
5,6,4
4,14,2
5,14,3
6,14,1
4,18,5
5,18,3
14,18,2
22,4,1
22,5,2
34,4,2
34,14,1
40,4,4
40,5,3
40,18,5
46,4,2
46,22,1
7,8,3
7,9,2
8,9,4
7,15,2
8,15,3
9,15,1
7,19,5
8,19,3
15,19,2
23,7,1
23,8,2
35,7,2
35,15,1
41,7,4
41,8,3
41,19,5
47,7,2
47,23,1
10,11,3
10,12,2
11,12,4
10,16,2
11,16,3
12,16,1
10,20,5
11,20,3
16,20,2
24,10,1
24,11,2
36,10,2
36,16,1
42,10,4
42,11,3
42,20,5
48,10,2
48,24,1
25,26,3
25,27,2
26,27,4
25,37,2
26,37,3
27,37,1
25,43,5
26,43,3
37,43,2
28,25,1
28,26,2
43,49,3
49,37,1
29,30,3
29,31,2
30,31,4
29,38,2
30,38,3
31,38,1
29,44,5
30,44,3
38,44,2
32,29,1
32,30,2
44,50,3
50,38,1
17,18,4
17,19,3
18,20,3
19,25,2
20,29,2
39,40,3
39,41,2
40,42,3
41,43,2
42,50,1
1,4,1
4,7,1
7,10,1
10,25,1
25,29,1
29,1,2
17,40,2
18,41,2
19,42,2
20,43,1
2,5,1
5,8,1
8,11,1
11,26,1
26,30,1
3,6,1
6,9,1
9,12,1
12,27,1
27,31,1
